operator,source,source_sha256,generic_ttadapter_sha256,bridge,compatibility_patch
fused_attention,experiment_operators/candidates/fused_attention.py,e1f7cefec49b6ee7601ca3a48f28d1c22ef755060923109a0db126314ed29321,d22d5bed5520e96d59b479f6c9e5c68e9d85276c4d69cd3ff733bccbb5b5e170,current MLIR22 lowering printed in generic form for MLIR19 compiler input,removed invalid overflowFlags property from arith.trunci only
flash_attention_npu_v8,experiment_operators/candidates/flash_attention_npu_v8.py,cf01eb43b7c0a13b93ff4b912f9f3572c74b3efac107ec2cbe7455f70df276f1,ee90fe14a86df22b0e5c25a8ad6fea5d77c30e14a18b1f91d8dd9aede5a1a939,current MLIR22 lowering printed in generic form for MLIR19 compiler input,removed invalid overflowFlags property from arith.trunci only
hstu_attention,experiment_operators/candidates/hstu_attention.py,e73e2cad5ee54909c0101144e078486dbc73cdaa09709401abf4527b4abd531c,5e107895afdee131687f2bf49f7b27a1ca52414c7bc5b19c96cdce9860b5d281,current MLIR22 lowering printed in generic form for MLIR19 compiler input,removed invalid overflowFlags property from arith.trunci only
unified_attention,experiment_operators/candidates/unified_attention.py,014dac070da49f90a3687b46a4e87502b81f96732980ed6c373a44f7f08143ee,af4f73e0ba27c5c917c0c5c84e7ab3027f75219f9f78c4e819e7ff755ca5fd1d,current MLIR22 lowering printed in generic form for MLIR19 compiler input,removed invalid overflowFlags property from arith.trunci only
