adapter,level1_affected,level2_affected,any_affected,level0_ub_bits,level1_ub_bits,level2_ub_bits,level0_ub_kib,level1_ub_kib,level2_ub_kib,level1_pass_observed,level2_pass_observed,level1_vector_functions_before,level2_vector_functions_before,all_levels_ub_line_observed,diagnostic
flash_attention_npu_v8.ttadapter,False,False,False,485376,485376,486400,59.25,59.25,59.375,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
fused_attention.ttadapter,False,False,False,699392,699392,831488,85.375,85.375,101.5,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
hstu_attention.ttadapter,False,False,False,659456,659456,659456,80.5,80.5,80.5,True,True,0,0,True,[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline
unified_attention.ttadapter,False,False,False,139008,139008,,16.96875,16.96875,,True,False,0,0,False,"[ERROR] Failed to run BiShengIR regbase pipeline | [ERROR] Failed to run BiShengIR regbase pipeline | loc(""/private/tmp/vfmerge-current-live-adapters/unified_attention.ttadapter"":5:1): error: Failed to run buildFinalHIVMPipelines pipeline | loc(""/private/tmp/vfmerge-current-live-adapters/unified_attention.ttadapter"":121:13): error: operand #1 does not dominate this use | [ERROR] Failed to run BiShengIR regbase pipeline"
